duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,flag,protocol_type,service,actual,predicted,attack_type,error_type
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0.0,0.0,0.0,0.0,0.08,0.38,0.0,255,3,0.01,0.58,0.99,0.0,0.0,0.0,0.01,0.0,SF,udp,private,0,1,normal,false_positive
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,1,0.0,0.24,0.23,0.0,0.0,0.0,0.23,1.0,RSTR,tcp,other,0,1,normal,false_positive
0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,80,0.31,0.02,0.31,0.0,0.0,0.0,0.0,0.0,SF,udp,private,0,1,normal,false_positive
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,0.0,0.0,0.0,0.0,0.34,0.09,0.0,255,11,0.04,0.58,0.99,0.0,0.0,0.0,0.01,0.0,SF,udp,private,0,1,normal,false_positive
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2,0.0,0.0,1.0,1.0,0.01,0.55,0.0,150,2,0.01,0.52,0.95,0.0,0.0,0.0,0.95,1.0,RSTR,tcp,private,0,1,normal,false_positive
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0.0,0.0,0.0,0.0,0.07,0.34,0.0,255,2,0.01,0.45,0.93,0.0,0.0,0.0,0.07,0.0,SF,udp,other,0,1,normal,false_positive
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,9,0.0,0.0,0.0,0.0,0.06,0.7,0.0,255,9,0.04,0.86,1.0,0.0,0.0,0.0,0.0,0.0,SF,udp,private,0,1,normal,false_positive
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,0.0,0.0,0.0,0.0,0.04,0.83,0.0,255,3,0.01,0.73,1.0,0.0,0.0,0.0,0.0,0.0,SF,udp,private,0,1,normal,false_positive
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,6,0.0,0.0,0.0,0.0,0.12,0.63,0.0,255,9,0.04,0.91,0.27,0.0,0.11,0.0,0.61,0.0,SF,udp,private,0,1,normal,false_positive
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,0.0,0.0,0.0,0.0,0.03,0.94,0.0,255,2,0.01,0.7,0.97,0.0,0.0,0.0,0.03,0.0,SF,udp,private,0,1,normal,false_positive
